étape 1,étape 2,étape 3,étape 4,étape 5,étape 6,étape 7,étape 8,étape 9,étape 10,étape 11,étape 12,étape 13,étape 14,étape 15,étape 16,étape 17,étape 18,étape 19,étape 20,acquisition_year,acquisition_mode,creation_date,domain,adn_complet,adn_simplifie,nbExpos,probaExpoAns,probaEvtsAns,artisteDom,natioArtiste
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,AE,AE,,0.03333333333333333,0.06666666666666667,étranger,britannique (bosniaque à la naissance)
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,exposition,,,,,,,,,,,,,,,,,,,1981,Achat en salon,,Peinture,AE,AE,,0.03333333333333333,0.06666666666666667,français,française
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,étranger,américaine
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Estampe,A,A,,0,0.03333333333333333,étranger,américaine
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,suisse
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,suisse
acquisition,,,,,,,,,,,,,,,,,,,,1981,Achat,,Dessin,A,A,,0,0.03333333333333333,étranger,suisse
acquisition,,,,,,,,,,,,,,,,,,,,1981,Don,,Estampe,A,A,,0,0.03333333333333333,étranger,suisse
acquisition,,,,,,,,,,,,,,,,,,,,1981,Don,,Estampe,A,A,,0,0.03333333333333333,étranger,suisse
acquisition,,,,,,,,,,,,,,,,,,,,1981,Don,,Estampe,A,A,,0,0.03333333333333333,étranger,suisse
