deposit_year,deposit_loc,deposit_category,weight
2003,En dépôt depuis le 06/06/2003 : Ambassade de France (Kingston),dépôt non culturel,0.0007861635220125787
2012,En dépôt depuis le 16/10/2012 : Sénat (Paris),dépôt non culturel,0.0008084074373484236
2008,En dépôt depuis le 22/01/2008 : Préfecture de la Savoie (Chambéry),dépôt non culturel,0.0010193679918450561
2015,En dépôt depuis le 05/11/2015 : Frac Picardie (Amiens),dépôt culturel,0.0008084074373484236
1987,En dépôt depuis 1987 : Musée de Grenoble,dépôt culturel,0.001579778830963665
2012,En dépôt depuis le 29/11/2012 : Ministère de l'égalité des territoires et du logement (Paris),dépôt non culturel,0.0008084074373484236
1987,En dépôt depuis le 17/11/1987 : Maison des artistes (Paris),dépôt culturel,0.001579778830963665
1993,En dépôt depuis le 08/06/1993 : Ambassade de France (Berne),dépôt non culturel,0.0007518796992481203
1990,En dépôt depuis le 26/11/1990 : Association française d'action artistique (Paris),dépôt culturel,0.0012195121951219512
2012,En dépôt depuis le 29/11/2012 : Ministère de l'égalité des territoires et du logement (Paris),dépôt non culturel,0.0008084074373484236
1995,En dépôt depuis le 15/02/1995 : Musée des Beaux-Arts (Orléans),dépôt culturel,0.0017094017094017094
2000,En dépôt depuis le 09/05/2000 : Premier Ministre / Secrétariat général du gouvernement (Paris),dépôt non culturel,0.0009718172983479105
1990,En dépôt depuis le 26/11/1990 : Association française d'action artistique (Paris),dépôt culturel,0.0012195121951219512
,"En dépôt : Musée d'Art, d'Histoire et d'Archéologie (Evreux)",dépôt culturel,
2005,En dépôt depuis le 29/09/2005 : Ambassade de France (Stockholm),dépôt non culturel,0.001201923076923077
1989,En dépôt depuis le 15/06/1989 : Consulat général de France (Amsterdam),dépôt non culturel,0.0010050251256281408
2002,En dépôt depuis le 16/07/2002 : Ambassade de France (Budapest),dépôt non culturel,0.000591016548463357
2007,En dépôt depuis le 29/06/2007 : Sous-Préfecture de Seine-et-Marne (Torcy),dépôt non culturel,0.0011001100110011
1988,En dépôt depuis le 12/12/1988 : Musée national des arts d'Afrique et d'Océanie (Paris),dépôt culturel,0.0012970168612191958
2007,En dépôt depuis le 01/10/2007 : Université Joseph Fourier Grenoble 1,dépôt non culturel,0.0011001100110011
2007,En dépôt depuis le 21/11/2007 : Consulat Général de France à Oran,dépôt non culturel,0.0011001100110011
1987,En dépôt depuis 1987 : Musée Cantini (Marseille),dépôt culturel,0.001579778830963665
2001,En dépôt depuis le 02/05/2001 : Ambassade de France (New Delhi),dépôt non culturel,0.0005577244841048522
2013,En dépôt depuis le 09/07/2013 : Autorité de Régulation desCommunications Electroniques et des Postes (Paris),dépôt non culturel,0.0008084074373484236
1996,En dépôt depuis le 19/06/1996 : Musée Ziem (Martigues),dépôt culturel,0.0009107468123861566
1992,En dépôt depuis le 08/10/1992 : Assemblée nationale (Paris),dépôt non culturel,0.001142857142857143
2006,En dépôt depuis le 27/11/2006 : Ambassade de France (Santiago du Chili),dépôt non culturel,0.001142857142857143
2010,En dépôt depuis le 17/09/2010 : Ministère de la culture et de la communication (Paris),dépôt non culturel,0.0008084074373484236
1994,En dépôt depuis le 07/11/1994 : Musée des Beaux-Arts de Tourcoing,dépôt culturel,0.0014992503748125937
1994,En dépôt depuis le 21/06/1994 : Musée de Brou (Bourg-en-Bresse),dépôt culturel,0.0014992503748125937
1988,En dépôt depuis le 09/12/1988 : Bibliothèque nationale - Site Richelieu (Paris),dépôt culturel,0.0012970168612191958
1988,En dépôt depuis le 09/12/1988 : Bibliothèque nationale - Site Richelieu (Paris),dépôt culturel,0.0012970168612191958
2015,En dépôt depuis le 09/04/2015 : Lieu d'Art et Action contemporaine (Dunkerque),dépôt culturel,0.0008084074373484236
1989,En dépôt depuis 1989 : Présidence de la République (Paris),dépôt non culturel,0.0010050251256281408
1992,En dépôt depuis le 22/01/1992 : Musée des Beaux-Arts (Orléans),dépôt culturel,0.001142857142857143
1992,En dépôt depuis le 16/09/1992 : Musée Barthélémy Thimonnier (Amplepuis),dépôt culturel,0.001142857142857143
1990,En dépôt depuis le 23/04/1990 : Ambassade de France (Washington),dépôt non culturel,0.0012195121951219512
2004,En dépôt depuis le 22/01/2004 : Direction générale des impôts (Paris),dépôt non culturel,0.0011135857461024498
2009,En dépôt depuis le 20/10/2009 : Ambassade de France (La Paz),dépôt non culturel,0.0010741138560687433
1986,En dépôt depuis le 07/01/1986 : Cour d'appel (Paris),dépôt non culturel,0.0020833333333333333
2014,En dépôt depuis le 20/02/2014 : Musée des beaux-arts (Rennes),dépôt culturel,0.0008084074373484236
1985,En dépôt depuis le 14/10/1985 : Ambassade de France (Bogota),dépôt non culturel,0.001430615164520744
2005,En dépôt depuis le 29/09/2005 : Ambassade de France (Stockholm),dépôt non culturel,0.001201923076923077
1988,En dépôt depuis le 09/12/1988 : Bibliothèque nationale - Site Richelieu (Paris),dépôt culturel,0.0012970168612191958
2012,En dépôt depuis le 18/10/2012 : Assemblée nationale (Paris),dépôt non culturel,0.0008084074373484236
2013,En dépôt depuis le 28/01/2013 : Présidence de la République (Paris),dépôt non culturel,0.0008084074373484236
1990,En dépôt depuis le 03/04/1990 : Ambassade de France (Mascate),dépôt non culturel,0.0012195121951219512
1990,En dépôt depuis le 03/04/1990 : Ambassade de France (Mascate),dépôt non culturel,0.0012195121951219512
1985,En dépôt depuis le 19/11/1985 : Ambassade de France (Luxembourg),dépôt non culturel,0.001430615164520744
2000,En dépôt depuis le 10/01/2000 : Secrétariat général de la questure de l'Assemblée nationale (Paris),dépôt non culturel,0.0009718172983479105
2015,En dépôt depuis le 05/01/2015 : Préfecture des Hauts-de-Seine (Nanterre),dépôt non culturel,0.0008084074373484236
2015,En dépôt depuis le 13/11/2015 : Ministère des Affaires sociales et de la Santé (Paris),dépôt non culturel,0.0008084074373484236
1993,En dépôt depuis le 01/04/1993 : Musée des Beaux-Arts (Orléans),dépôt culturel,0.0007518796992481203
2001,En dépôt depuis le 02/05/2001 : Ambassade de France (New Delhi),dépôt non culturel,0.0005577244841048522
2016,En dépôt depuis le 18/04/2016 : Musée Régional d'Art Contemporain Languedoc-Roussillon (Sérignan),dépôt culturel,0.0008084074373484236
1986,En dépôt depuis le 06/06/1986 : Préfecture de la Seine-et-Marne (Melun),dépôt non culturel,0.0020833333333333333
2009,En dépôt depuis le 07/01/2009 : Préfecture du Jura (Lons-le-Saunier),dépôt non culturel,0.0010741138560687433
